Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Mean,CV Std
Logistic Regression,0.75,0.75,1.0,0.8571428571428571,0.30612244897959184,0.7406926406926407,0.022510822510822488
SVM (Linear),0.75,0.75,1.0,0.8571428571428571,0.4285714285714286,0.7229437229437229,0.04597720535879394
SVM (RBF),0.75,0.75,1.0,0.8571428571428571,0.8775510204081632,0.7502164502164502,0.019145752716446713
K-Nearest Neighbors,0.6785714285714286,0.7307692307692307,0.9047619047619048,0.8085106382978723,0.11904761904761903,0.7034632034632036,0.02479276374593311
LightGBM,0.5357142857142857,0.6818181818181818,0.7142857142857143,0.6976744186046512,0.09523809523809523,0.5636363636363636,0.07082388677629083
Random Forest,0.4642857142857143,0.65,0.6190476190476191,0.6341463414634146,0.06462585034013604,0.49004329004329,0.038050938430035895
XGBoost,0.42857142857142855,0.631578947368421,0.5714285714285714,0.6,0.0748299319727891,0.4445887445887446,0.056420064717299136
Gradient Boosting,0.39285714285714285,0.6111111111111112,0.5238095238095238,0.5641025641025641,0.108843537414966,0.4623376623376624,0.052621892290987855
Naive Bayes,0.39285714285714285,0.6666666666666666,0.38095238095238093,0.48484848484848486,0.26530612244897955,0.5186147186147186,0.06712888620728202
Extra Trees,0.35714285714285715,0.5882352941176471,0.47619047619047616,0.5263157894736842,0.0,0.4341991341991342,0.05543154390479348
