Model,Accuracy,ROC AUC
LightGBM_Weighted_SMOTE_ENN,0.75,0.5
Advanced_Ensemble,0.4642857142857143,0.11564625850340136
XGBoost_Weighted_Original,0.4642857142857143,0.02380952380952381
Logistic_Weighted_ADASYN,0.42857142857142855,0.29931972789115646
SVM_Optimized_SMOTE,0.42857142857142855,0.21768707482993196
XGBoost_Weighted_SMOTE_ENN,0.39285714285714285,0.1360544217687075
Logistic_Weighted_SMOTE_Tomek,0.39285714285714285,0.2925170068027211
Logistic_Weighted_SMOTE,0.39285714285714285,0.25170068027210885
LightGBM_Weighted_ADASYN,0.35714285714285715,0.054421768707483
SVM_Optimized_ADASYN,0.35714285714285715,0.21088435374149658
Logistic_Weighted_Original,0.35714285714285715,0.25850340136054417
XGBoost_Weighted_ADASYN,0.35714285714285715,0.0510204081632653
GradientBoosting_Weighted_Original,0.35714285714285715,0.0748299319727891
GradientBoosting_Weighted_SMOTE_Tomek,0.32142857142857145,0.0782312925170068
SVM_Optimized_SMOTE_Tomek,0.32142857142857145,0.2448979591836735
XGBoost_Weighted_SMOTE_Tomek,0.32142857142857145,0.07482993197278912
RandomForest_Weighted_ADASYN,0.32142857142857145,0.03741496598639456
XGBoost_Weighted_SMOTE,0.32142857142857145,0.04421768707482993
SVM_Optimized_Original,0.2857142857142857,0.8639455782312926
RandomForest_Weighted_SMOTE_Tomek,0.2857142857142857,0.06462585034013604
LightGBM_Weighted_SMOTE,0.2857142857142857,0.11904761904761904
LightGBM_Weighted_SMOTE_Tomek,0.2857142857142857,0.12925170068027209
RandomForest_Weighted_Original,0.2857142857142857,0.0272108843537415
GradientBoosting_Weighted_SMOTE_ENN,0.2857142857142857,0.1360544217687075
GradientBoosting_Weighted_SMOTE,0.2857142857142857,0.14285714285714285
RandomForest_Weighted_SMOTE,0.25,0.04421768707482993
Logistic_Weighted_SMOTE_ENN,0.25,0.1564625850340136
SVM_Optimized_SMOTE_ENN,0.25,0.12244897959183673
GradientBoosting_Weighted_ADASYN,0.21428571428571427,0.10884353741496597
RandomForest_Weighted_SMOTE_ENN,0.17857142857142858,0.09183673469387756
LightGBM_Weighted_Original,0.17857142857142858,0.04081632653061224
